"id","volgorde","fk_rubriek_parent","fk_archief","toelichting","publiceren","naam","app_state","datum_gewijzigd","gewijzigd_door"
"342",NULL,"274","10",,"1","2 Tentoonstellingen Steendrukkerij De Jong &amp; Co.","1","2006-02-10","Trudi"
"344",NULL,"274","10",,"1","3 Drukwerk","1","2004-10-25","Charlotte"
"347",NULL,"104","10",,"1","Diverse opdrachtgevers","1","2004-10-22","Charlotte"
"348",NULL,"104","10",,"1","Hamdorff Laren","1","2004-10-22","Charlotte"
"349",NULL,"104","10",,"1","Raadhuis Hilversum","1","2004-10-22","Charlotte"
"351",NULL,"344","10",,"1","Affiches","1","2004-10-26","Charlotte"
"353",NULL,"614","1",,"1","N t/m Q","1","2005-03-11","Karin"
"354",NULL,"614","1",,"1","R t/m U","1","2005-03-11","Karin"
"355",NULL,"614","1",,"1","V t/m Z","1","2005-03-11","Karin"
"357",NULL,"149","1",,"1","Beurs van Berlage","1","2004-11-04","Karin"
"358",NULL,"361","1","<p></p><p>In september 1989 werd in en aan het stadhuis een tweedelig monumentonthuld, ter nagedachtenis aan de vermoorde joden uit Dordrecht enZwijndrecht.</p><p></p>","1","Joods Monument Dordrecht","1","2005-09-13","Karin"
"361",NULL,"179","1",,"1","Monumentale opdrachten","1","2005-09-01","Karin"
"362",NULL,"203","1",,"1","Kampert en Helm Rotaform","1","2004-11-12","Karin"
"363",NULL,"179","1",,"1","Tentoonstellingen","1","2004-11-12","Karin"
"364",NULL,"208","1",,"1","Van Loghum Slaterus","1","2004-11-12","Karin"
"365",NULL,"208","1",,"1","Moussault's uitgeverij NV","1","2004-11-12","Karin"
"369",NULL,"208","1",,"1","Erven Thomas Rap","1","2004-11-12","Karin"
"370",NULL,"104","10",,"1","Stedelijk Museum Amsterdam","1","2004-11-17","Charlotte"
"371",NULL,"370","10",,"1","Catalogi","1","2004-11-17","Charlotte"
"372",NULL,"370","10",,"1","Beeldmateriaal","1","2004-11-17","Charlotte"
"373",NULL,"370","10",,"1","Publiciteit","1","2004-11-17","Charlotte"
"374",NULL,"370","10",,"1","Tentoonstellingsontwerpen","1","2004-11-17","Charlotte"
"375",NULL,"370","10",,"1","Correspondentie","1","2004-11-17","Charlotte"
"376",NULL,"104","10",,"1","Ministerie van CRM","1","2004-11-17","Charlotte"
"377",NULL,"376","10",,"1","Beeldmateriaal","1","2004-11-17","Charlotte"
"378",NULL,"296","10",,"1","Beeldmateriaal","1","2004-11-17","Charlotte"
"379",NULL,"296","10",,"1","Correspondentie en documentatie","1","2005-01-18","Trudi"
"380",NULL,"104","10","<p>The magazine of international advertising art</p>","1","IDEA","1","2004-11-17","Charlotte"
"381",NULL,"380","10",,"1","Omslagontwerpen","1","2004-11-17","Charlotte"
"382",NULL,"380","10",,"1","Beeldmateriaal","1","2004-11-17","Charlotte"
"383",NULL,"125","10",,"1","Boek Sandberg","1","2004-11-17","Charlotte"
"384",NULL,"246","10",,"1","Zegels koningshuis","1","2004-11-17","Trudi"
"385",NULL,"104","10","<p>Museumjournaal is een uitgave van de stichting Kunstpublicaties</p>","1","Museumjournaal","1","2004-11-17","Charlotte"
"388",NULL,"416","10",,"1","Catalogus Claes Oldenburg","1","2004-11-17","Charlotte"
"389",NULL,"104","10",,"1","Art Directors Club Nederland (ADCN)","1","2005-01-12","Trudi"
"390",NULL,"104","10",,"1","Grafisch Nederland","1","2004-11-18","Charlotte"
"391",NULL,"104","10",,"1","Uitgeverijen","1","2004-11-18","Charlotte"
"392",NULL,"391","10",,"1","Uitgeverij de Bezige Bij","1","2004-11-18","Charlotte"
"393",NULL,"104","10",,"1","Commissie voor de collectieve propaganda van het Nederlandse boek","1","2004-11-22","Charlotte"
"394",NULL,"104","10",,"1","VPRO","1","2004-11-22","Diderik"
"395",NULL,"392","10",,"1","Boekontwerpen","1","2004-11-22","Charlotte"
"396",NULL,"392","10",,"1","Beeldmateriaal","1","2004-11-22","Charlotte"
"397",NULL,"395","10",,"1","Dar Pockets","1","2004-11-22","Charlotte"
"398",NULL,"391","10",,"1","Polak &amp; Van Gennep","1","2004-11-22","Charlotte"
"399",NULL,"391","10",,"1","Uitgeverij Herik","1","2004-11-22","Charlotte"
"400",NULL,"235","10",,"1","Pratt Institute","1","2004-12-15","Trudi"
"401",NULL,"106","10",,"1","Beeldmateriaal affiches en catalogi","1","2004-11-22","Charlotte"
"403",NULL,"400","10",,"1","Beeldmateriaal","1","2004-11-22","Diderik"
"405",NULL,"400","10",,"1","Correspondentie en Documentatie","1","2004-12-15","Trudi"
"406",NULL,"246","10",,"1","Bevrijdingszegels","1","2004-11-22","Trudi"
"407",NULL,"106","10",,"1","Beeldmateriaal tentoonstellingsvormgeving","1","2004-11-22","Charlotte"
"408",NULL,"403","10",,"1","Overzichttentoonstelling","1","2004-11-22","Diderik"
