"rol","fk_persoon_instelling","fk_object"
"0","8","28262"
"0","8","28263"
"0","8","28266"
"0","8","28267"
"0","8","28269"
"0","8","28270"
"0","8","28272"
"0","8","28273"
"0","8","28274"
"0","8","28276"
"0","8","28280"
"0","8","28282"
"0","8","28283"
"0","8","28284"
"0","8","28285"
"0","8","28286"
"0","8","28288"
"0","8","28289"
"0","8","28290"
"0","8","28291"
"0","8","28292"
"0","8","28293"
"0","8","28294"
"0","8","28295"
"0","8","28296"
"0","8","28297"
"0","8","28298"
"0","8","28302"
"0","8","28304"
"0","8","28309"
"0","8","28311"
"0","8","28312"
"0","8","28313"
"0","8","28314"
"0","8","28315"
"0","8","28317"
"0","8","28318"
"0","8","28376"
"0","8","28377"
"0","8","28378"
"0","8","28380"
"0","8","28381"
"0","8","28383"
"0","8","28385"
"0","8","28388"
"0","8","28389"
"0","8","28390"
"0","8","28391"
"0","8","28392"
"0","8","28393"
"0","8","28394"
"0","8","28395"
"0","8","28396"
"0","8","28397"
"0","8","28398"
"0","8","28400"
"0","8","28401"
"0","8","28402"
"0","8","28403"
"0","8","28404"
"0","8","28406"
"0","8","28408"
"0","8","28409"
"0","8","28412"
"0","8","28415"
"0","8","28416"
"0","8","28417"
"0","8","28418"
