"id","fk_lijsten","fk_object","fk_persoon_instelling","ranking","is_ontwerp"
"6550","27","3940","1292",NULL,"1"
"6551","27","3941","940",NULL,"1"
"6554","27","3944","941",NULL,"1"
"6555","27","3945","943",NULL,"1"
"6556","27","3946","1292",NULL,"1"
"6559","27","3948","1292",NULL,"1"
"6560","27","3949","1292",NULL,"1"
"6562","27","3951","1292",NULL,"1"
"6565","27","3953","941",NULL,"1"
"6566","25","3953","1035",NULL,NULL
"6567","85","3953","1036",NULL,NULL
"6572","27","3955","951",NULL,"1"
"6573","25","3955","967",NULL,NULL
"6574","85","3955","1038",NULL,NULL
"6594","27","3962","940",NULL,"1"
"6599","27","3964","940",NULL,"1"
"6600","27","3964","952",NULL,"1"
"6601","27","3965","1292",NULL,"1"
"6602","25","3965","1009",NULL,NULL
"6603","85","3965","1049",NULL,NULL
"6606","27","3967","940",NULL,"1"
"6607","25","3967","1050",NULL,NULL
"6608","85","3967","1047",NULL,NULL
"6615","27","3970","1292",NULL,"1"
"6620","27","3972","942",NULL,"1"
"6621","27","3973","1292",NULL,"1"
"6622","27","3974","941",NULL,"1"
"6623","27","3975","1292",NULL,"1"
"6624","27","3976","1292",NULL,"1"
"6635","27","3981","1292",NULL,"1"
"6636","27","3982","1292",NULL,"1"
"6641","27","3986","1292",NULL,"1"
"6647","27","3990","954",NULL,"1"
"6648","25","3990","1061",NULL,NULL
"6649","27","3991","1292",NULL,"1"
"6655","27","3994","940",NULL,"1"
"6656","25","3994","1063",NULL,NULL
"6657","85","3994","1064",NULL,NULL
"6658","27","3995","1292",NULL,"1"
"6659","25","3995","1009",NULL,NULL
"6660","85","3995","974",NULL,NULL
"6661","27","3996","1292",NULL,"1"
"6662","25","3996","1009",NULL,NULL
"6663","85","3996","974",NULL,NULL
"6664","27","3997","941",NULL,"1"
"6665","85","3997","974",NULL,NULL
"6666","27","3998","941",NULL,"1"
"6667","25","3998","1009",NULL,NULL
"6668","85","3998","974",NULL,NULL
"6672","27","4000","951",NULL,"1"
"6678","27","4005","940",NULL,"1"
"6679","25","4005","1067",NULL,NULL
"6682","27","4008","951",NULL,"1"
"6683","27","4009","1292",NULL,"1"
"6684","27","4010","1292",NULL,"1"
"6685","27","4011","941",NULL,"1"
"6686","27","4011","1068",NULL,"1"
"6689","27","4013","940",NULL,"1"
"6693","27","4016","1292",NULL,"1"
"6694","27","4017","1292",NULL,"1"
"6695","27","4018","954",NULL,"1"
"6696","27","4019","954",NULL,"1"
"6697","25","4019","1069",NULL,NULL
"6698","27","4020","954",NULL,"1"
"6699","27","4021","954",NULL,"1"
"6700","25","4021","948",NULL,NULL
"6701","27","4022","940",NULL,"1"
"6702","25","4022","994",NULL,NULL
"6704","27","4024","1292",NULL,"1"
"6705","25","4024","967",NULL,NULL
"6706","27","4025","1292",NULL,"1"
"6707","27","4026","1292",NULL,"1"
"6708","25","4026","948",NULL,NULL
"6709","27","4027","1292",NULL,"1"
"6710","27","4028","940",NULL,"1"
"6711","27","4029","1292",NULL,"1"
"6713","27","4031","941",NULL,"1"
"6714","27","4032","940",NULL,"1"
"6715","27","4033","940",NULL,"1"
"6717","27","4035","941",NULL,"1"
"6720","27","4037","941",NULL,"1"
"6721","27","4038","941",NULL,"1"
"6722","27","4039","941",NULL,"1"
"6725","27","4041","940",NULL,"1"
"6729","27","4043","941",NULL,"1"
"6730","25","4043","958",NULL,NULL
"6731","27","4044","1072",NULL,"1"
"6732","27","4044","940",NULL,"1"
"6733","27","4044","943",NULL,"1"
"6734","25","4044","967",NULL,NULL
"6739","27","4047","1292",NULL,"1"
"6740","27","4048","940",NULL,"1"
"6741","27","4049","940",NULL,"1"
"6742","27","4050","1292",NULL,"1"
"6743","27","4051","1292",NULL,"1"
"6744","25","4051","1022",NULL,NULL
"6745","85","4051","1021",NULL,NULL
"6746","27","4052","1292",NULL,"1"
"6747","85","4052","1021",NULL,NULL
"6748","27","4053","940",NULL,"1"
"6749","27","4053","942",NULL,"1"
"6750","85","4053","1021",NULL,NULL
"6754","27","4055","1008",NULL,"1"
"6755","25","4055","948",NULL,NULL
"6756","85","4055","1074",NULL,NULL
"6757","27","4056","940",NULL,"1"
"6758","27","4057","940",NULL,"1"
"6761","27","4059","941",NULL,"1"
"6762","27","4059","951",NULL,"1"
"6763","27","4060","1292",NULL,"1"
"6764","27","4061","940",NULL,"1"
"6765","27","4062","940",NULL,"1"
"6767","27","4064","941",NULL,"1"
"6768","25","4064","1075",NULL,NULL
"6769","85","4064","1076",NULL,NULL
"6770","27","4065","940",NULL,"1"
"6771","25","4065","1077",NULL,NULL
"6772","85","4065","1078",NULL,NULL
"6773","27","4066","940",NULL,"1"
"6774","25","4066","1079",NULL,NULL
"6775","85","4066","1078",NULL,NULL
"6776","27","4067","951",NULL,"1"
"6777","85","4067","1080",NULL,NULL
"6778","27","4068","1072",NULL,"1"
"6779","25","4068","967",NULL,NULL
"6780","85","4068","1081",NULL,NULL
"6781","27","4069","943",NULL,"1"
"6782","27","4069","952",NULL,"1"
"6783","85","4069","1082",NULL,NULL
"6786","27","4071","941",NULL,"1"
"6787","27","4072","1292",NULL,"1"
"6788","25","4072","1084",NULL,NULL
"6789","85","4072","659",NULL,NULL
"6790","27","4073","940",NULL,"1"
"6791","25","4073","1085",NULL,NULL
"6792","27","4074","940",NULL,"1"
"6793","25","4074","634",NULL,NULL
"6794","85","4074","1086",NULL,NULL
"6795","27","4075","940",NULL,"1"
"6796","25","4075","634",NULL,NULL
"6797","85","4075","1086",NULL,NULL
